"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should throw on invalid metric type","WebVitalsMetricTypeSchema","Fri Oct 17 08:01:30 UTC 2025","passed","Fri Oct 17 08:01:30 UTC 2025","","","",""
"","1","should log warn messages","S48Logger","Fri Oct 17 08:01:28 UTC 2025","passed","Fri Oct 17 08:01:28 UTC 2025","","","",""
"","2","makeExpirationDate throws SessionError if expTime is not a number","Session Utils","Fri Oct 17 08:01:46 UTC 2025","passed","Fri Oct 17 08:01:46 UTC 2025","","","",""
"","0","verifyPasswordLength returns error for long password","Password Utils","Fri Oct 17 08:01:35 UTC 2025","passed","Fri Oct 17 08:01:35 UTC 2025","","","",""
"","0","getLevel returns unknown for null","User Utils","Fri Oct 17 08:01:30 UTC 2025","passed","Fri Oct 17 08:01:30 UTC 2025","","","",""
"","0","returns red for >200","webVitalsUtils","Fri Oct 17 08:01:08 UTC 2025","passed","Fri Oct 17 08:01:08 UTC 2025","","inpTextColor","",""
"","0","should fail if demoMode object is missing password","developerConfigSchema","Fri Oct 17 08:01:49 UTC 2025","passed","Fri Oct 17 08:01:49 UTC 2025","","","",""
"","0","should have correct plugin name","@studiocms/github","Fri Oct 17 08:01:16 UTC 2025","passed","Fri Oct 17 08:01:16 UTC 2025","","plugin structure","",""
"","3","render component with no content","Virtual Components Container tests","Fri Oct 17 08:01:45 UTC 2025","passed","Fri Oct 17 08:01:45 UTC 2025","","Renderer component","",""
"","0","throws SyntaxError on invalid JSON","jsonParse","Fri Oct 17 08:01:51 UTC 2025","passed","Fri Oct 17 08:01:51 UTC 2025","","","",""
"","0","calculates average and rounds to two decimals","webVitalsUtils","Fri Oct 17 08:01:08 UTC 2025","passed","Fri Oct 17 08:01:08 UTC 2025","","calculateClsAverage","",""
"","0","should handle empty string","String Utilities","Fri Oct 17 08:01:09 UTC 2025","passed","Fri Oct 17 08:01:09 UTC 2025","","dedent","",""
"","0","returns correct export statement for valid input","pageContentComponentFilter","Fri Oct 17 08:01:42 UTC 2025","passed","Fri Oct 17 08:01:42 UTC 2025","","","",""
"","5","Editor with complex content","Editor component","Fri Oct 17 08:01:13 UTC 2025","passed","Fri Oct 17 08:01:13 UTC 2025","","","",""
"","0","should provide default empty object when empty object provided","HTMLSchema","Fri Oct 17 08:01:37 UTC 2025","passed","Fri Oct 17 08:01:37 UTC 2025","","default values","",""
"","0","should have correct plugin name","studiocmsMDX","Fri Oct 17 08:01:04 UTC 2025","passed","Fri Oct 17 08:01:04 UTC 2025","","plugin configuration","",""
"","10","verifyUsernameSafe returns error for unsafe username","User Utils","Fri Oct 17 08:01:30 UTC 2025","passed","Fri Oct 17 08:01:30 UTC 2025","","","",""
"","3","merges general values without overwriting security/plugins","setLocals","Fri Oct 17 08:01:22 UTC 2025","passed","Fri Oct 17 08:01:22 UTC 2025","","","",""
"","1","should not dispatch toggle-app event when clicking inside astro-dev-toolbar","app-utils","Fri Oct 17 08:01:14 UTC 2025","passed","Fri Oct 17 08:01:14 UTC 2025","","closeOnOutsideClick","",""
"","0","should handle string with only underscores","String Utilities","Fri Oct 17 08:01:09 UTC 2025","passed","Fri Oct 17 08:01:09 UTC 2025","","convertUnderscoresToHyphens","",""
"","0","should have no required dependencies","@studiocms/github","Fri Oct 17 08:01:16 UTC 2025","passed","Fri Oct 17 08:01:16 UTC 2025","","plugin structure","",""
"","0","handles missing StudioCMS config safely","heroHelper tests","Fri Oct 17 08:01:29 UTC 2025","passed","Fri Oct 17 08:01:29 UTC 2025","getHeroImage","trimInput","",""
"","6","renders GFM tables","parseMarkdown","Fri Oct 17 08:01:52 UTC 2025","passed","Fri Oct 17 08:01:52 UTC 2025","","","",""
"","0","should have no required dependencies","@studiocms/auth0","Fri Oct 17 08:01:15 UTC 2025","passed","Fri Oct 17 08:01:15 UTC 2025","","plugin structure","",""
"","2","constantTimeEqual returns true for equal strings","Password Utils","Fri Oct 17 08:01:35 UTC 2025","passed","Fri Oct 17 08:01:35 UTC 2025","","","",""
"","0","should convert underscores to hyphens and back","String Utilities","Fri Oct 17 08:01:09 UTC 2025","passed","Fri Oct 17 08:01:09 UTC 2025","","integration tests","",""
"","0","should handle thrown numbers","tryCatch","Fri Oct 17 08:01:09 UTC 2025","passed","Fri Oct 17 08:01:09 UTC 2025","","error handling and types","",""
"","32","Editor with props","Editor component","Fri Oct 17 08:01:57 UTC 2025","passed","Fri Oct 17 08:01:57 UTC 2025","","","",""
"","2","should return the config object unchanged","defineStudioCMSConfig","Fri Oct 17 08:01:53 UTC 2025","passed","Fri Oct 17 08:01:53 UTC 2025","","","",""
"","2","logs all messages with correct log levels and labels","logMessages","Fri Oct 17 08:01:22 UTC 2025","passed","Fri Oct 17 08:01:22 UTC 2025","","","",""
"","1","should apply success middleware if provided","Api-Route Tests","Fri Oct 17 08:01:08 UTC 2025","passed","Fri Oct 17 08:01:08 UTC 2025","","withEffectAPI tests","",""
"","4","getUserData returns logged out session if no token","User Module","Fri Oct 17 08:01:11 UTC 2025","passed","Fri Oct 17 08:01:11 UTC 2025","","","",""
"","0","should handle multiple CORS origins","Api-Route Tests","Fri Oct 17 08:01:08 UTC 2025","passed","Fri Oct 17 08:01:08 UTC 2025","","withEffectAPI tests","",""
"","2","should construct the correct public route for a simple string","makePublicRoute","Fri Oct 17 08:01:53 UTC 2025","passed","Fri Oct 17 08:01:53 UTC 2025","","","",""
"","7","should create a plugin with default options","studiocmsMD","Fri Oct 17 08:01:03 UTC 2025","passed","Fri Oct 17 08:01:03 UTC 2025","","plugin creation","",""
"","1","should add CloudinaryENVIntegration","Cloudinary Image Service Plugin","Fri Oct 17 08:01:04 UTC 2025","passed","Fri Oct 17 08:01:04 UTC 2025","studiocms:astro:config hook","plugin hooks","",""
"","0","returns yellow for <=100","webVitalsUtils","Fri Oct 17 08:01:08 UTC 2025","passed","Fri Oct 17 08:01:08 UTC 2025","","progressBarInpTrackColor","",""
"","47","breakSecurePassword throws on invalid format","Password Utils","Fri Oct 17 08:01:35 UTC 2025","passed","Fri Oct 17 08:01:35 UTC 2025","","","",""
"","1","should allow undefined input and default to {}","localUsernameAndPasswordConfig","Fri Oct 17 08:01:33 UTC 2025","passed","Fri Oct 17 08:01:33 UTC 2025","","","",""
"","10","provides a service for deep merging","deepmerge test","Fri Oct 17 08:01:32 UTC 2025","passed","Fri Oct 17 08:01:32 UTC 2025","","Deepmerge Effect Service","",""
"","1","merges nested objects deeply","deepmerge test","Fri Oct 17 08:01:32 UTC 2025","passed","Fri Oct 17 08:01:32 UTC 2025","","deepmerge utility","",""
"","0","should handle malformed HTML gracefully","transformHTML","Fri Oct 17 08:01:14 UTC 2025","passed","Fri Oct 17 08:01:14 UTC 2025","","","",""
"","0","extracts CLS values and calculates average","webVitalsUtils","Fri Oct 17 08:01:08 UTC 2025","passed","Fri Oct 17 08:01:08 UTC 2025","","clsDataAverage","",""
"","0","StudioCMSRoutes.fts contains expected keys","routeMap","Fri Oct 17 08:01:14 UTC 2025","passed","Fri Oct 17 08:01:14 UTC 2025","","","",""
"","0","non-dashboard route with override","urlGenFactory","Fri Oct 17 08:01:44 UTC 2025","passed","Fri Oct 17 08:01:44 UTC 2025","","","",""
"","0","should have correct package identifier","studiocmsMDX","Fri Oct 17 08:01:04 UTC 2025","passed","Fri Oct 17 08:01:04 UTC 2025","","plugin configuration","",""
"","0","should export NotificationSettingsDefaults","consts.ts","Fri Oct 17 08:01:14 UTC 2025","passed","Fri Oct 17 08:01:14 UTC 2025","","","",""
"","0","parses valid hour string","TimeStringSchema","Fri Oct 17 08:01:23 UTC 2025","passed","Fri Oct 17 08:01:23 UTC 2025","","","",""
"","1","should validate available dashboard pages","AvailableDashboardPagesSchema","Fri Oct 17 08:01:15 UTC 2025","passed","Fri Oct 17 08:01:15 UTC 2025","","","",""
